epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,704.399,0.98501,0.73558,0.98638,0.69714,0.61836,0.65918,0.50693,0.96334,1.26076,1.37413,0.000302685,0.000302685,0.000302685
2,1400.62,0.87426,0.57497,0.94873,0.73702,0.66142,0.70632,0.53783,0.8991,1.16635,1.30992,0.000588552,0.000588552,0.000588552
3,2095.09,0.82937,0.54402,0.93641,0.74646,0.69002,0.7505,0.59675,0.86216,0.89338,1.2914,0.000857279,0.000857279,0.000857279
4,2789,0.77955,0.50532,0.91982,0.81157,0.68605,0.7637,0.62237,0.78428,0.73977,1.22129,0.000831865,0.000831865,0.000831865
5,3483.42,0.73624,0.47118,0.90934,0.74389,0.70641,0.73847,0.60408,0.78947,0.78754,1.23148,0.000806153,0.000806153,0.000806153
6,4176.92,0.70118,0.44645,0.89883,0.84251,0.74206,0.81185,0.66579,0.74244,0.70076,1.19462,0.000780441,0.000780441,0.000780441
7,4870.88,0.66984,0.42772,0.89464,0.8547,0.73395,0.79507,0.65047,0.73383,0.69746,1.18342,0.00075473,0.00075473,0.00075473
8,5563.73,0.65505,0.41407,0.88693,0.80387,0.80133,0.82901,0.68835,0.70001,0.70043,1.16527,0.000729018,0.000729018,0.000729018
9,6256.6,0.63872,0.40023,0.88295,0.87618,0.79299,0.84018,0.70048,0.70054,0.61489,1.18663,0.000703306,0.000703306,0.000703306
10,6949.47,0.62634,0.39641,0.8837,0.85957,0.7563,0.83399,0.70195,0.69924,0.63135,1.17318,0.000677595,0.000677595,0.000677595
11,7642.1,0.61298,0.38504,0.87986,0.87644,0.78859,0.84615,0.71077,0.65826,0.5824,1.12696,0.000651883,0.000651883,0.000651883
12,8334.46,0.60171,0.37397,0.87443,0.88205,0.78707,0.83961,0.71371,0.63886,0.53088,1.11798,0.000626171,0.000626171,0.000626171
13,9026.48,0.59195,0.37279,0.87861,0.87344,0.77703,0.85383,0.72313,0.64476,0.56609,1.125,0.000600459,0.000600459,0.000600459
14,9719.22,0.57812,0.35502,0.86825,0.84389,0.82413,0.87089,0.74606,0.61672,0.52023,1.11217,0.000574748,0.000574748,0.000574748
15,10411.6,0.56988,0.35309,0.87001,0.88736,0.80737,0.87282,0.74163,0.62468,0.54573,1.10574,0.000549036,0.000549036,0.000549036
16,11103,0.56191,0.34444,0.86675,0.87904,0.80552,0.86419,0.73321,0.61453,0.5696,1.09808,0.000523324,0.000523324,0.000523324
17,11795,0.55174,0.3395,0.86334,0.90346,0.78249,0.87505,0.73775,0.61877,0.51683,1.12157,0.000497613,0.000497613,0.000497613
18,12486.8,0.53921,0.33041,0.85943,0.88183,0.82525,0.87545,0.75287,0.59989,0.51135,1.08899,0.000471901,0.000471901,0.000471901
19,13179.2,0.54291,0.33016,0.8599,0.87659,0.8313,0.87913,0.75135,0.61755,0.52248,1.10839,0.000446189,0.000446189,0.000446189
20,13871,0.52551,0.31968,0.85661,0.84734,0.8668,0.86118,0.746,0.59753,0.52467,1.09196,0.000420477,0.000420477,0.000420477
21,14562.5,0.52039,0.31791,0.85687,0.88258,0.84233,0.88546,0.76202,0.58129,0.506,1.07652,0.000394766,0.000394766,0.000394766
22,15255,0.5162,0.31388,0.85583,0.90903,0.81725,0.88323,0.76446,0.58358,0.45593,1.0802,0.000369054,0.000369054,0.000369054
23,15947.4,0.5044,0.30212,0.85087,0.8901,0.8338,0.90044,0.77247,0.57088,0.44381,1.0742,0.000343342,0.000343342,0.000343342
24,16639.7,0.50004,0.30093,0.85193,0.87242,0.84504,0.88432,0.76456,0.5736,0.46125,1.07606,0.000317631,0.000317631,0.000317631
25,17331.6,0.4976,0.29781,0.85213,0.89807,0.83674,0.89385,0.77491,0.56125,0.43801,1.06862,0.000291919,0.000291919,0.000291919
26,18021.8,0.48075,0.3029,0.85225,0.87526,0.82949,0.85844,0.73938,0.59305,0.50398,1.10192,0.000266207,0.000266207,0.000266207
27,18711,0.47427,0.29594,0.85022,0.89622,0.84087,0.8755,0.75619,0.57885,0.47386,1.07856,0.000240495,0.000240495,0.000240495
28,19399.9,0.46879,0.29022,0.85312,0.90601,0.82017,0.88111,0.77345,0.56552,0.46239,1.07035,0.000214784,0.000214784,0.000214784
29,20088.6,0.46032,0.28287,0.84937,0.84459,0.85688,0.87101,0.7465,0.56459,0.48253,1.08717,0.000189072,0.000189072,0.000189072
30,20777.2,0.45368,0.27549,0.84892,0.89518,0.84,0.88226,0.77207,0.55395,0.4511,1.06726,0.00016336,0.00016336,0.00016336
31,21465.9,0.4392,0.26531,0.84311,0.89062,0.85737,0.89022,0.78209,0.55053,0.43499,1.06242,0.000137649,0.000137649,0.000137649
32,22155.4,0.42609,0.25477,0.84072,0.89271,0.85135,0.88914,0.77988,0.53668,0.43387,1.04854,0.000111937,0.000111937,0.000111937
33,22844.5,0.42118,0.2502,0.841,0.90456,0.86802,0.90546,0.79641,0.53264,0.40856,1.04903,8.62251e-05,8.62251e-05,8.62251e-05
34,23534,0.41246,0.24168,0.83431,0.89771,0.86357,0.89635,0.78961,0.52909,0.40528,1.04569,6.05134e-05,6.05134e-05,6.05134e-05
35,24223.3,0.39994,0.22959,0.82846,0.91522,0.85821,0.90375,0.79735,0.51626,0.38999,1.03986,3.48017e-05,3.48017e-05,3.48017e-05
